,Name,Price,Calories,Protein,Carbs,Fats,Type,Item_weight,Price/100g
1,Csirke mell,28.0,195.0,29.5,0.0,7.7,meat,1000.0,2.8
2,Csirke comb,18.0,177.0,24.0,0.0,8.0,meat,1000.0,1.8
3,Csirke szárny,14.0,288.0,26.4,0.0,19.3,meat,1000.0,1.4
4,Disznó comb,23.0,245.0,17.4,0.0,18.9,meat,1000.0,2.3
5,Disznó karaj,23.0,190.0,27.8,0.0,7.8,meat,1000.0,2.3
6,Disznó lapocka,23.0,269.0,23.0,0.0,19.0,meat,1000.0,2.3
7,Tej,5.8,63.0,3.2,4.7,3.5,dairy,1000.0,0.58
8,Tojás,1.8,142.0,12.2,1.4,9.9,dairy,100.0,1.8
9,Cheddar (3 hónapos),14.5,416.0,25.4,0.1,34.9,dairy,250.0,5.8
10,Fehér rizs,8.8,365.0,7.0,80.0,0.7,grain,1000.0,0.8800000000000001
11,Krém túró,2.9,70.0,12.0,4.1,0.2,dairy,200.0,1.45
12,Fehérje puding,4.0,65.0,10.0,6.0,0.3,random,200.0,2.0
